name,subtitle,description,cost,artwork,persuasion,source,artwork_url,type
Blouse blanche,Ça doit être quelqu'un de sérieux,"Un morceau de tissu et une cravate, c’est tout ce qu’il te faut pour te donner un air crédible. Enfile donc cette blouse, habille ton enseigne d'une plaque dorée à ton nom et oublie les ""rendez-vous"" : toi, tu donnes des Consultations. N'importe qui peut le faire, mais cela donne tout de suite l'illusion du sérieux, JPP n'y verra que du feu !",3,blouse.jpg,0.3,effet de halo (Thorndike 1920 empirique confirmé par Asch 1946),https://cdn.pixabay.com/photo/2021/07/27/17/42/stethoscope-6497490_960_720.jpg,arg
Produit dérivé ,Mon code promo est dans la bio,"INCROYABLE coïncidence : la pathologie que tu diagnostiques chez tes patients peut justement être guérie avec les compléments que tu vends sur ta boutique en ligne. Le monde est bien fait. Ils peuvent même ajouter un mug ou un t-shirt à l'effigie de ta méthode. L'image de marque, c'est important.
Prépare tout de même le terrain avec du contenu de ""vulgarisation scientifique"" quotidien 100% gratuit. JPP aura l'impression que tu lui apprends des choses de façon désintéressée avant de lui proposer ta solution miracle en toute objectivité.
",2,produit.jpg,0.2,"Biais de confirmation ? Mimétisme social ? (Bcp de ressouces en psychologie sociale, du tri à faire avec théories psychanalytiques etc, voir Roberte Hamayon anthropologue, mimétisme et chamanisme)",https://cdn.pixabay.com/photo/2016/11/18/12/08/white-male-1834125_960_720.jpg,arg
Méthode Jean-Claude™,Source : ma vie,"Un peu d’égo ne fait pas de mal… ! Tu puises au coeur de ton expérience de vie pour créer la thérapie qui peut porter ton nom… Quelle chance de posséder ce don d’aider les autres. Tu n’as même pas besoin d’avoir des connaissances, la solution est venue à toi. Certainement que beaucoup de personnes t’envient ! ",2,jc.jpg,0.2,Preuve anecdotique (infographie david Mccandless et al 2012),https://upload.wikimedia.org/wikipedia/commons/3/32/Van_Damme%2C_Jean_Claude_%28USAF%29.jpg,arg
Nuit des temps,Il était une fois... [OU] saignée pour tous [OU] La tradition a du bon,"Fais l’éloge de l’ancienneté de ta thérapie, JPP sera certainement convaincu.  Dans la plupart des cultures, l’ancienneté évoque une sagesse ancestrale. Comment ne pas être convaincu par ce savoir ?  Le vieux sage ou le savant ancien l’emportera face aux nouveaux scientifiques. 
[MIX TRAD]
Vante l'ancienneté de ta technique pour évoquer une forme de sagesse ancestrale qui la crédibilisera. Jouer sur la nostalgie d'un passé fantasmé, c'est habile`… et parfois suffisant pour faire oublier que les connaissances en santé n'ont fait que croître avec les siècles : les approches modernes ont justement pu tirer des leçons du passé pour affiner leur efficacité. Mais bon, les traditions des vieux sages feront toujours plus rêver. ",2,nuit.jpg,0.2,appel à la tradition (https://cortecs.org/language-argumentation/argument-dhistoricite/)=argumentum ad antiquitatem,https://cdn.pixabay.com/photo/2022/05/10/20/52/calligraphy-7188024_1280.jpg,arg
Tradition,On a toujours fait comme ça,"Parce que cette thérapie est ancienne c’est forcément bon, juste et vrai. Si ça ne marchait pas, ça aurait disparu depuis longtemps. 
Respectons ces traditions qui se transmettent de génération en génération. C’est ainsi que ça a toujours été. ",2,tradition.jpg,0.2,appel à la tradition,https://cdn.pixabay.com/photo/2017/08/28/20/24/statue-2691173_960_720.jpg,arg
Exotisme,Rdv en terre inconnue,"JPP vient pour sa santé, offre-lui un voyage ! Une technique ancestrale qui vient d'Ailleurs et qui arrive chez nous avec ses préceptes incroyables. Il paraît même que c'est uniquement comme ça qu'ils se soignent là-bas. 
Après tout, à notre époque, nous avons tous les mêmes smartphones, voitures et sneakers, mais leur médecine doit certainement faire exception à la règle... À moins que ?
",4,exotisme.jpg,0.4,"appel à l'exotisme (difficile de trouver une ressource, mais pq est ce que c'est dangereux : brèches dans 
l’argumentaire épistémologique anti-colonialiste,Oubré Alondra, Plants, property, and people, should indigenous peoples be compensated for 
their medicinal plant knowledge?, Skeptic, Vol4. No.2, 1996 p. 75-76. ) ",https://cdn.pixabay.com/photo/2017/05/15/22/39/monk-2316340_960_720.jpg,arg
Cocktail,"Et paf, ça fait des chocapic","Tu proposes à JPP quelque chose d'innovant qu'il n'a jamais vu ailleurs. En vérité tu mixes ensemble une foule de techniques qui n'ont rien à voir mais qui te plaisent, pour en faire ton propre smoothie thérapeutique. Tu présenteras le tout comme cohérent car tu unis les différentes approches. Dans un autre domaine, personne n'y croirait (imagine ""des éoliennes au charbon nucléaire""!!!) mais en l'occurrence JPP  n'y connait rien et il a besoin d'une solution.",2,cocktail.webp,0.2,,https://cdn.pixabay.com/photo/2023/06/20/10/06/cocktail-8076619_960_720.jpg,arg
Origine naturelle,Ça vient de la nature c'est forcément bien?,"Tu fais appel à la croyance que la nature nous veut fondamentalement du bien, c’est super efficace !

Ne dis pas à Jean-Peuplu que l’amanite tue-mouches, le tétanos, une morsure de serpent sont naturels... mais mortels.",2,nature.png,0.2,appel à la nature,"https://cdn.pixabay.com/photo/2018/11/17/22/15/trees-3822149_960_720.jpg

",arg
Populaire,100 000 personnes convaincues ! Et vous ?,"Tous les patients sont satisfaits, et ils sont nombreux, autant de monde ne peut pas se tromper !

C’est oublier que les personnes en souffrance ne se tournent pas forcément vers l’option la plus efficace, qui peut présenter des inconvénients, mais souvent vers la plus agréable. Qu'est-ce qui sera le plus populaire : des exercices de rééducation intensifs ou un massage aux pierres chaudes ? L'opinion générale peut être un mauvais guide. Mais chut... laisse JPP suivre le vote du public !",2,popularite.jpg,0.2,"appel à la popularité, mimétisme social, raison de la majorité (cortecs)",https://cdn.pixabay.com/photo/2017/07/21/23/57/concert-2527495_960_720.jpg,arg
Wifithérapie ,Il a la 5G dans les mains ! ,"JPP n’en peut plus ! Fais en sorte qu’il n’ait pas besoin de se déplacer. Avec cette carte, propose à JPP une séance de thérapie à distance. Peut-être même qu'en t’envoyant une photo de lui par la poste, tu parviendrais/parviendras à t’occuper de lui et éliminer tous ses soucis. OU 
Grâce à cette carte, tu pourrais soigner JPP sans même le toucher! Si nécessaire, ce serait également possible à partir d'une photo, JPP n'aurait même pas besoin de se déplacer pour bénéficier de ta thérapie.",2,wifi.jpg,0.2,,https://cdn.pixabay.com/photo/2016/05/04/08/56/wifi-1371030_960_720.jpg,car
Au cabinet,C'est la base,"Le cabinet répond aux attentes classiques d’une séance de thérapie. C’est un endroit qui se veut sûr, et neutre. Au cabinet, JPP sera rassuré, il ne sortira pas des sentiers battus. Juste avec ce contexte, peut être que JPP commencera déjà à aller mieux. ",2,cabinet.jpg,0.2,,https://cdn.pixabay.com/photo/2020/11/03/15/31/doctor-5710152_960_720.jpg,car
Influenceur,"Damn la team, cette health routine a changé ma vie !","Waouh, un youtubeur s'est prêté à ton analyse posturokinergique et raconte en story comment cette expérience a changé sa vie ! À travers cette collab' pas du tout commerciale, tu t'assures un flux de nouveaux patients ! C'est plus pratique de faire valider ta thérapie par ceux dont le business model repose sur la publicité plutôt que par des instances scientifiques pompeuses et rigoureuses... et c'est surtout plus convaincant pour le public qui va calquer sur toi toute la confiance qu'il accorde à son influenceur préféré.",2,influenceur.jpg,0.2,"Leurs pratiques numériques (influenceurs,ses) sont intimement liées à la demande de reconnaissance d’autrui et aux attentes normatives produites par la société (Honneth, 2000) Mimétisme social ? ",https://images.pexels.com/photos/6954220/pexels-photo-6954220.jpeg,arg
Séminaire,Coupé du monde pour mieux guérir,"Propose un séjour en immersion à JPP. Il passera quelques jours à tes côtés, il respirera ta thérapie du matin au soir. En plus, il côtoiera des gens avec une même expérience. Presque un air de vacances… initiatique/ calme/ bien-être",2,stages.webp,0.2,,https://images.pexels.com/photos/3758063/pexels-photo-3758063.jpeg,car
Prendre l'air,Promenons-nous dans les bois,Et si tu offrais une thérapie 100% Nature à JPP ? Une thérapie dans laquelle la nature aurait un pouvoir de guérison et qui affirmerait que les agressions du monde moderne nous déconnectent de notre véritable essence ? Alors sors dans la forêt ! Va dehors ! Pars à l’aventure ! Peut-être que JPP y trouvera la solution…,2,prendrelair.jpeg,0.2,,https://images.pexels.com/photos/142497/pexels-photo-142497.jpeg,car
E.T.S.T.,Enroulement tissulaire spiralé transversal,"Tu ne savais pas que ça existait... Eh bien nous non plus ! L'astuce est là : tu traites une structure, un organe, une fonction, que tu es la seule personne à pouvoir identifier. On n'a pas d'autre choix que te faire confiance ! C'est la meilleure manière de ne pas être remis en question.",2,entite.jpg,0.2,Technique issue de la biokinergie https://www.ordremk.fr/wp-content/uploads/2023/01/tableau_techniques_illusoires_a4-20230105.pdf,https://cdn.pixabay.com/photo/2016/03/14/13/06/friends-1255442_960_720.jpg,arg
Sérénité,Trouve la paix intérieure,"Tu penses que pour guérir, JPP doit faire la paix avec lui-même, retrouver une sérénité supposément perdue. Ce sera sa quête, il suivra un chemin obscur où tu seras sa lumière. Ton rôle est de lui ouvrir la voie et réconcilier son corps et son esprit.",2,sérénité.jpg,0.2,,https://cdn.pixabay.com/photo/2014/10/09/13/03/woman-481769_960_720.jpg,car
Quête de sens,Rien n'arrive sans raison," « Pourquoi moi ? » « Qu’ai-je fait pour mériter ça ? » 
Propose à JPP cette quête de sens. Refuse les « c’est comme ça… », ou le « c’est pas de chance ! ». Un mal de dos ne s’attraperait pas au hasard. Les maux ont sûrement des causes cachées dans notre enfance ou la vie de nos ancêtres. Si JPP comprend pourquoi ça ne va pas, peut-être qu’il parviendra à aller mieux. 
",2,quêtedesens.jpeg,0.2,,https://images.pexels.com/photos/12347774/pexels-photo-12347774.jpeg,car
Energies,Une histoire de chakras,"Les énergies, ouvrir ses chakras, faire circuler les flux... Penses-tu que le monde soit rempli d'ondes positives et négatives qui nous traverseraient et nous affecteraient ? Est-ce que travailler sur l'invisible ouvrirait une nouvelle porte à JPP ? ",2,chakra.jpg,0.2,,https://upload.wikimedia.org/wikipedia/commons/3/34/Cosplayer_of_Naruto_Uzumaki_at_CWT30_20120129.jpg,arg
Couteau suisse,Très globalement holistique,"La fameuse ""approche globale"" ! Avec ça, pas besoin de maîtriser les spécificités de chaque fonction du corps humain car tu peux prétendre que ""le corps est un tout"". Et ta thérapie est tellement puissante et efficace qu'une seule technique suffit pour parvenir à traiter tous les soucis : un vrai couteau suisse.",2,couteau.jpg,0.2,,https://cdn.pixabay.com/photo/2011/04/13/09/17/pocket-knife-6551_1280.jpg,arg
Tactile,"Je replace le bassin dans 3, 2, 1...","Pour vous, soigner JPP passera par le toucher. Vous croyez fermement qu'il existe des blocages articulaires, des nœuds musculaires, des structures à réajuster dans le corps. Vous pensez que vos mains ont le pouvoir d'agir dessus avec suffisamment de force pour avoir un effet, même si vous n'en avez pas la preuve.",2,tactile.jpg,0.05,https://pubmed.ncbi.nlm.nih.gov/29034802/,https://cdn.pixabay.com/photo/2017/09/06/20/35/woman-2722936_960_720.jpg,car
Ressenti, Tu sens ce nœud dans ta vie antérieure ?,"Ta conscience intérieure est grande, tu as ce pouvoir de ressentir les choses. Et tu lui fais confiance. C’est lui qui te guide dans ton quotidien. Tes patients ont de la chance, tu as mis ce pouvoir à leur service. Fais-en bon usage ! ",2,ressenti.jpeg,0.2,effet idéomoteur,https://images.pexels.com/photos/6806457/pexels-photo-6806457.jpeg,arg
Directif,Écoute-moi et tout ira bien,"Toi, tu sais comment parler à JPP. Prodigue lui quelques astuces sur un ton persuasif pour améliorer son quotidien. Tu connais LA recette de la guérison, JPP n'a qu'à la suivre pour aller mieux.",2,directif.jpg,0.2,"modèle BPS, ETP, entretien motivationnel, (attention de validité de preuve de l'étude + motvational interviewing non valable pour tous les patients, ex : suivi obésité. Effectiveness of Motivational Interviewing in Managing Overweight and Obesity
A Systematic Review and Meta-analysis ). Voir efficacité pour fumeur + temps de communication accordé en médecine conv/TAC ",https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Drill_instructor_at_the_Officer_Candidate_School.jpg/1280px-Drill_instructor_at_the_Officer_Candidate_School.jpg,arg
High tech,Électro 3000 à la rescousse,"Ton cabinet est à la pointe ! Tu te procures toujours les meilleurs équipements pour tes patients : tu disposes d'un diffuseur d'ondes électrogazomagnétiques, et du Theramove 360 dernier cri. Les douleurs de JPP n'ont qu'à bien se tenir !",2,tech.jpg,0.2,,https://img.freepik.com/photos-gratuite/jeune-femme-allongee-table-du-cosmetologue-au-cours-procedure-rajeunissement_343596-136.jpg,car
Allongez-vous,"Relax, je m'occupe de tout","C'est toi qui as la capacité de soigner JPP. Il doit te faire confiance pour optimiser ses chances de récupérer. C'est tellement plus simple pour JPP de se laisser aller, tu n'as qu'à le conforter dans cette attitude.",2,allongez.jpg,0.2,,https://cdn.pixabay.com/photo/2013/03/13/13/56/king-william-iii-93199_960_720.jpg,arg
Contrôle technique,Rdv dans 3 mois pour le check-up,"JPP ne le sait pas encore, mais il s'engage dans une loooongue relation avec toi : s'il ne va pas bien, il devra venir te voir pour résoudre ses soucis et s'il se sent bien... qu'il vienne quand même, tu ""préviendras leur apparition"" ! Et gare à lui s'il manque un contrôle trimestriel : dis-lui d'un air dramatique que son corps pourrait se ""déséquilibrer"" !",2,contrôletechnique.jpeg,0.2,,https://images.pexels.com/photos/4473400/pexels-photo-4473400.jpeg,arg
Inexplicitus ,Motus latinus sonnus intelligum,"Tu as maintenant accès au langage précis et compliqué des sciences et de la santé. Un petit mot qu’on ne connaît pas, et ça passe tout seul ! En général, personne ne te demande d’explications et ça te donne l'air bien plus sérieux que les autres ! JPP sera impressionné à coup sûr.       ",2,inexplicitus.jpeg,0.2,Argument d'autorité ? infographie david Mccandless et al 2012,https://images.pexels.com/photos/5905529/pexels-photo-5905529.jpeg,arg
Un ami m'a dit 👍,Ma PUB c'est les autres,"Quand JPP va voir ses amis, il y en a toujours un qui connaît quelqu’un, qui connaît quelqu’un, qui a la même pathologie que lui. Cette personne a testé ta thérapie et va beaucoup mieux. C’est un très bon argument pour que JPP vienne te rendre visite. De toute façon, si ça ne marche pas pour lui il ne racontera certainement pas cette histoire… mais chut !! C’est notre secret, ça reste entre nous. ",2,ami.jpg,0.2,biais du survivant,https://cdn.pixabay.com/photo/2018/07/03/13/20/conversation-3513843_1280.jpg,arg
Diplôme,Je suis Hyperdocteur en papouillologie,"Affiche tes diplômes dans ton bureau, dans la salle d'attente et sur ton site. JPP te fera encore plus confiance ! Ces papiers donnent l'impression que tu sais vraiment de quoi tu parles. La plupart d'entre eux peuvent être obtenus en quelques heures pour quelques centaines d'euros et le contenu de la formation n'a fait l'objet d'aucun contrôle... mais il y a des dorures, c'est ça qui compte !",2,diplôme.png,0.2,argument d'autorité,https://cdn.pixabay.com/photo/2016/05/13/20/02/diploma-1390785_960_720.png,arg
Mémoire sélective,"Pile, j'ai raison. Face, j'ai pas tort.","Ton conseil absolu à JPP : ""Tiens toi droit !"" . S'il n'a pas mal, il oubliera le conseil. Mais si la douleur réapparait, JPP s'en rappellera et constatera son incapacité à le suivre correctement (tu as déjà essayé de te tenir droit toute une journée ?) . Dans tous les cas, tu sortiras gagnant. Quelle tactique ! ",2,mémoire.png,0.2,tri sélectif des données,https://upload.wikimedia.org/wikipedia/en/a/ae/Dory_%28Finding_Nemo%29.png,arg
Jouer la montre,"Dans 5 jours, ça ira mieux...","Le temps est ton allié ! À la fin de ton rendez-vous avec JPP, insiste sur le fait que les bénéfices de ton intervention peuvent mettre quelques jours à apparaître. Tu joues habilement du fait que la plupart des douleurs et maladies guérissent d'elles-mêmes, avec ou sans traitement ! Et puis comme JPP est au plus mal quand il fait appel à tes services, statistiquement, il ne pourra qu'aller mieux ensuite !",2,jouerlamontre.jpg,0.2,"corrélation vs causalité, évolution spontanée, effets non spécifiques",https://cdn.pixabay.com/photo/2018/02/24/20/39/clock-3179167_1280.jpg,arg
Le blizzard,Ta g... c'est magique,"Le tout est de savoir que ta thérapie fonctionne. Pourquoi ? Personne ne saurait l’expliquer. De toute façon il y a toujours des choses inexplicables et ta thérapie en fait partie. Les gens sont contents, ils trouvent qu'ils vont mieux. Les autres n’ont qu’à avoir ton ouverture d’esprit ! ",2,blizzard.png,0.2,"infographie david Mccandless et al 2012, liste des biais de déduction erronées : inversion de la charge de la preuve",https://cdn.pixabay.com/photo/2016/11/18/17/36/hands-1835994_1280.png,arg
Révélation,"Tu es un thérapeute, Harry !","Cette carte te permet d'avoir accès à une révélation divine, une entité bien supérieure à l'Humanité te donne tous les codes pour une nouvelle thérapie. Alors vas-y !
[OU]
Les principes fondamentaux de ta thérapie t'ont été révélés par une vision, une inspiration (quasi)divine. Si ça vient de Là-Haut, c'est d'autant plus dur à contester ! En bonus, cette entité t'a donné une mission : propager le Message. Si c'est pour la bonne cause, quel besoin de se justifier ?",4,révélation.jpg,0.4,,https://cdn.pixabay.com/photo/2017/08/04/16/44/face-2580601_1280.jpg,arg
Overbooké,3 ans d'attente minimum,"Si JPP remarque que ton planning est presque complet, c’est certainement que tu es compétent et reconnu. Tout le monde vient te voir. JPP aura encore plus envie de te choisir comme thérapeute. Sois malicieux et fais en sorte d'avoir peu de disponibilités.",4,overbooké.jpg,,Effet de rareté,https://cdn.pixabay.com/photo/2016/03/14/18/22/calendar-1255953_1280.jpg,arg
Recommandé par,Les autres disent que je gère !,"N'hésite pas à mentionner à quel point les médecins eux-mêmes te réfèrent des patients. Tu travailles main dans la main avec de nombreux professionnels très très très diplômés, même s'ils ne t'ont jamais vu pratiquer. Tu profites ainsi de leur légitimité sans avoir à prouver la tienne.",4,recommandé.jpg,,,https://cdn.pixabay.com/photo/2017/09/01/11/56/finger-2704016_1280.jpg,arg
Bon patient,Y'a le bon et le mauvais patient...,"Le bon patient, il est réceptif. Le mauvais, il a dû faire quelque chose de mal. 
Tu le sais bien, ta technique est infaillible. Si JPP ne va pas mieux après ta visite, c’est forcément qu’il a fait quelque chose qui n’allait pas. Ne te remets jamais en question.",2,bonpatient.jpg,,,https://cdn.pixabay.com/photo/2020/05/21/15/38/pros-5201376_1280.jpg,arg
La grosse moula,Ch€r,Monte le prix : l'effet sera plus grand,,,,,,arg
Big pharma,L'huile essentielle m'a libéré du système,"Pas mal, vous désignez comme ennemi le système pharmaceutique dont les déboires et l’avidité sont publics et connus de tous. A la place, vous promouvez des produits alternatifs.Tellement alternatifs qu’ils sont produits par les mêmes entreprises que les médicaments conventionnels, mais sans exigence de prouver leur efficacité. Mais personne ne fait attention au logo du fabricant sur la boîte, alors autant en profiter.",2,bigpharma.jpg,0.15,,https://cdn.pixabay.com/photo/2020/02/06/07/55/money-4823268_1280.jpg,arg